,0,1,2,3,4,5,6,7,8,9
34,010130,009830,006120,007860,009450,001390,005090,003280,000490,002810
35,009450,001390,005090,000490,002810,000240,006040,005610,010780,001680
36,009450,005090,000240,006040,005610,010780,001680,010120,026960,017940
37,006040,005610,010780,001680,010120,026960,001800,017800,005300,001780
38,010780,010120,001800,017800,005300,004000,005090,012030,010600,012320
39,010780,010120,005090,012030,012320,003620,001430,025540,033240,034120
40,010780,010120,005090,012030,012320,003620,025540,002380,004000,005300
41,010780,010120,005090,012320,005300,010130,000100,003850,001680,011000
42,010780,010120,010130,000100,001680,004710,003580,001820,010600,004360
43,010130,001680,004710,010600,026960,009450,025540,003570,000490,013520
44,001680,004710,010600,026960,025540,010120,005850,006280,004490,002240
45,004710,026960,025540,010120,005850,006280,004490,033180,003570,013570
46,010120,004490,033180,013570,000100,005610,010780,012030,002900,013520
47,033180,013570,010780,012030,013520,007700,004000,002310,003570,001460
48,033180,013570,012030,013520,007700,004000,003570,005850,005740,002320
49,013570,007700,004000,003570,005850,002320,009540,010120,001040,001460
50,007700,003570,005850,002320,009540,010120,002350,001680,005880,000680
51,009540,010120,002350,001680,000680,026960,005090,004710,011760,016590
52,010120,001680,000680,005090,004710,011760,011170,004000,009450,029530
53,001680,004710,004000,000720,004990,002380,029460,004690,012030,004360
54,004000,000720,004990,029460,004690,005420,003240,033240,033180,005740
55,004990,029460,005740,003300,011810,005880,000430,007540,002900,015360
56,004990,003300,005880,000430,002900,015360,000270,003240,001340,013520
57,004990,005880,000430,002900,000270,001340,016380,017960,001780,009290
58,005880,000270,005490,011790,005850,003300,007860,001390,033180,007690
59,005880,003300,007860,001390,033780,036460,012750,001060,001680,007810
60,003300,012750,001680,011170,000720,026960,005300,003570,003960,012320
61,001680,011170,000720,006260,005420,025540,012030,007570,001790,004360
62,011170,000720,006260,012030,007570,001790,004360,003240,005880,005180
63,011170,006260,012030,007570,001790,004360,005880,005180,014680,011930
64,006260,012030,004360,005880,005180,001230,003300,000670,002240,001820
65,004360,003300,000670,002240,001820,010130,012750,009450,007810,000430
66,000670,010130,012750,000430,009150,011170,026960,004000,003090,001390
67,012750,011170,026960,004000,001390,000880,002840,001680,016580,002900
68,011170,004000,001390,000880,002840,016580,023590,003920,013570,004360
69,011170,004000,001390,000880,016580,023590,003920,013570,001820,012320
70,011170,000240,001040,010780,009450,008060,026890,025620,007570,004360
71,011170,010780,009450,026890,025620,007570,010120,000880,016580,002900
72,026890,025620,000880,016580,002900,004170,004800,002840,008060,005880
73,025620,016580,002900,004170,002840,008060,005930,001800,017800,003030
74,025620,016580,004170,008060,017800,003030,005950,017810,002310,004360
75,016580,017800,005950,004360,005930,028050,001800,023590,026890,001820
76,016580,005950,004360,023590,026890,009830,004150,017810,003920,002810
77,016580,005950,023590,026890,009830,004150,011780,033240,002030,025620
78,016580,005950,004150,011780,025620,001800,036460,029460,007690,002810
79,005950,011780,025620,001800,036460,029460,000100,003030,004430,017810
80,005950,001800,029460,003030,017810,012450,009420,001430,007460,001780
81,005950,029460,012450,009420,001780,000720,036460,002030,001520,000860
82,005950,029460,009420,000720,001520,000860,001430,007460,007690,001820
83,009420,000720,001520,007690,011170,012750,007860,002030,003060,003920
84,007690,012750,007860,009830,021240,004000,002620,026890,011930,005950
85,009830,004000,002620,026890,011930,005950,008930,006120,001470,001780
86,009830,004000,002620,026890,005950,006120,005380,012450,007310,000860
87,004000,005380,012450,007310,000860,000670,029460,011930,025620,004700
88,012450,007310,000860,000670,029460,011930,025620,000720,003620,007690
89,000670,029460,011930,000720,036460,001040,006120,004000,010780,001390
90,029460,011930,000720,036460,006120,010780,000150,003090,002030,001520
91,029460,036460,006120,010780,000150,003090,001520,005440,004700,016590
92,029460,000150,003090,005440,005380,012330,005610,007860,001390,001820
93,005440,012330,007860,001390,010130,011170,026960,007460,016800,002810
94,005440,001390,010130,011170,007460,016800,002810,009150,036460,004800
95,007460,009150,036460,028050,006120,006360,002620,000430,004700,007540
96,007460,009150,028050,006360,002620,004700,012330,014820,005880,016800
97,028050,006360,002620,012330,001040,006120,003230,010780,003240,002310
98,006360,002620,012330,001040,003230,010780,003410,008770,008730,007690
99,006360,002620,001040,010780,003410,007690,003240,002030,010690,004700
100,006360,010780,003410,007690,010690,004700,036460,007860,004150,000430
101,010780,003410,036460,004150,000430,001740,002620,003090,029460,002240
102,010780,003410,000430,001740,002620,003090,029460,002240,002790,003230
103,010780,003410,002620,003090,029460,002240,007460,017940,003220,013520
104,003410,029460,007460,017940,003220,003230,003850,003030,005440,001680
=======
0,005930,000660,003490,030200,009830,021240,003410,006260,007700,002790
1,005930,000660,003490,030200,009830,021240,003410,006260,007700,002790
2,000660,030200,003410,006260,007700,005490,035720,010620,000210,004370
3,000660,030200,003410,006260,005490,035720,010620,005930,012330,012450
4,000660,030200,005490,010620,012330,012450,008770,004370,007700,000990
5,005490,010620,012330,004370,007700,000990,005930,011170,009830,003410
6,005490,010620,004370,007700,000990,005930,011170,009830,010950,008770
7,005490,010620,004370,011170,010950,035720,000100,001800,000720,006260
8,010620,004370,011170,010950,035720,000100,000720,001570,011790,008770
9,010620,004370,010950,035720,000100,011790,008770,005490,009150,007700
10,010620,010950,000100,011790,008770,005490,005380,021240,006260,030000
11,010950,000100,011790,005490,005380,006260,011200,011170,001800,003410
12,010950,000100,011790,006260,011200,000660,010130,009540,011780,030000
13,010950,011790,006260,011200,010130,005380,011170,001570,010140,001800
14,010950,006260,011200,010130,001570,010140,000100,004020,002790,030000
15,010950,011200,001570,010140,000100,002790,005380,000720,003410,011790
16,010950,001570,010140,000100,005380,000720,003410,011170,000240,007700
17,010950,001570,010140,000100,005380,000720,000240,009150,021240,004020
18,010950,001570,010140,000100,005380,000720,000240,009150,004020,030000
19,010950,001570,010140,000720,011200,011170,028050,021240,003410,011780
20,010950,001570,010140,021240,003410,011780,005380,000240,001800,006260
21,010950,001570,010140,003410,011780,005380,001800,006260,004370,036460
22,010950,001570,010140,003410,011780,004370,036460,028050,012450,002790
23,010950,001570,010140,011780,004370,028050,012450,009540,009830,011790
24,010950,001570,011780,004370,028050,012450,009830,011790,018880,002790
25,011780,028050,012450,009830,011790,018880,015760,009150,010140,000720
26,028050,012450,000720,005380,009540,010950,001800,003410,006260,004370
27,028050,012450,010950,006260,003550,033780,015760,009830,011790,004990
28,028050,012450,010950,006260,015760,011790,010130,010140,000240,018880
29,028050,010950,015760,011790,010140,000240,018880,005380,004990,030000
30,028050,011790,010140,000240,018880,030000,003550,001570,011780,002790
31,011790,010140,000240,018880,001570,011780,002790,007700,004990,000990
32,011790,010140,000240,001570,011780,005930,015760,010950,028050,004370
33,001570,005930,015760,006400,000270,018880,003410,004990,002790,030000
34,001570,003410,004990,002790,030000,000660,005490,035720,004370,000990
35,004990,002790,000660,005930,009150,030200,000100,001800,000720,011790
36,002790,000660,009150,000100,001800,000720,005490,006400,015760,001570
37,002790,000660,000720,006400,015760,005930,000270,010950,004020,004370
38,002790,000720,006400,005930,004020,004370,009150,001570,001800,007700
39,002790,006400,005930,001800,007700,000660,003490,010950,010140,010620
40,002790,006400,005930,001800,007700,010140,009540,028050,008770,004370
41,002790,006400,005930,001800,010140,009540,008770,004370,000660,036460
42,002790,006400,005930,001800,010140,009540,008770,000660,005490,010950
43,002790,006400,001800,008770,000660,010950,001570,011780,004370,007700
44,002790,006400,001800,008770,010950,001570,011780,004370,010620,000990
45,006400,001800,008770,010950,004370,010620,000990,009540,010140,007700
46,001800,008770,010950,010140,007700,005930,012330,033780,011780,036460
47,008770,010950,010140,007700,012330,033780,011780,036460,006400,003550
48,008770,010950,010140,007700,012330,033780,011780,005930,005380,028050
49,010950,010140,007700,012330,011780,005930,005380,028050,001570,036460
50,010950,010140,012330,011780,005930,028050,001570,036460,003490,001800
51,010950,010140,012330,011780,005930,001570,036460,003490,001800,004370
52,010950,010140,012330,011780,005930,001570,036460,030200,028050,011790
53,010950,012330,011780,005930,001570,036460,000660,035720,003490,012630
54,010950,012330,011780,005930,001570,036460,035720,003490,000240,007700
55,010950,012330,011780,005930,001570,036460,035720,003490,021240,012630
56,011780,005930,001570,036460,021240,005490,009540,009830,011790,004370
57,011780,005930,001570,021240,005490,009540,009830,011790,035720,012630
58,011780,005930,001570,021240,009540,009830,011790,012630,006400,006260
59,011780,001570,021240,009830,011790,012630,006400,006260,010950,004370
60,001570,009830,011790,012630,010950,004370,005930,012330,010130,012450
61,001570,009830,011790,010950,004370,012330,006400,009150,009540,011780
62,001570,011790,010950,006400,009150,009540,011780,012450,006260,012630
63,011790,006400,011780,012450,012630,010130,021240,000720,010620,004370
64,011790,011780,012450,012630,010130,000720,011200,010140,000100,036460
65,011790,012450,012630,010130,000720,005490,006400,009150,010620,002790
66,012630,010130,000720,006400,009540,009830,003410,011780,004990,036460
67,010130,000720,003410,011780,004990,036460,011200,001570,001800,010620
68,010130,011780,004990,036460,001570,001800,010620,006400,009150,012630
69,011780,004990,001570,001800,010620,009150,003550,012450,003410,030000
70,011780,004990,001570,001800,009150,012450,003410,030000,006400,002790
71,011780,004990,001570,001800,006400,002790,012330,010950,010060,000990
72,011780,001800,006400,002790,012330,010950,005930,003490,010620,007700
73,001800,006400,002790,012330,010950,005930,003490,003410,010060,000990
74,001800,002790,005930,003490,028050,000720,010620,007700,004990,030000
75,001800,002790,028050,000720,010620,004990,012330,003410,011780,008930
76,001800,002790,000720,010620,004990,003410,005930,006400,030200,030000
77,001800,002790,003410,006400,030000,000660,011170,012450,011780,000990
78,002790,003410,000660,012450,000990,005930,030200,018880,004020,000720
79,012450,000990,005930,030200,000720,006400,035720,009540,021240,010620
80,000990,030200,000720,035720,009540,021240,010620,003490,001800,030000
81,000990,030200,000720,021240,003490,001800,005930,003550,028050,002790
82,000990,021240,003490,001800,005930,002790,035720,011170,001570,010620
83,000990,021240,003490,001800,002790,035720,011170,010620,000660,011200
84,000990,003490,001800,002790,011170,010620,005930,010140,028050,006260
85,003490,011170,010620,010140,028050,033780,011200,001570,011790,004990
86,003490,010620,028050,011200,001570,011790,004990,006400,035720,003550
87,003490,010620,011200,001570,004990,006400,035720,003550,010950,011170
88,003490,010620,011200,006400,035720,011170,009540,028050,009830,018880
89,003490,010620,006400,035720,009540,018880,005930,010950,001570,000100
90,010620,006400,009540,018880,005930,010950,000100,011200,011170,008770
91,018880,005930,010950,000100,011200,011170,035720,003490,004020,004990
92,018880,005930,010950,000100,011200,011170,035720,003490,004020,028050
>>>>>>> 9a6069f428728bea260c2ab2e692f32008bcbb0e
